ANO,MES,PAIS_DESTINO,UF_ORIGEM,QUANTIDADE,KG_LIQUIDO,VALOR_USD
2001,2,244,RJ,84806,79039640,14644373
2001,12,249,RJ,48,53206,62354
2001,12,715,RJ,297742,277325168,26786246
2001,8,715,RJ,160465,149569073,20234238
2001,12,244,RJ,235596,220691356,20274186
2001,10,249,RJ,127342,118122493,14830210
2001,6,63,RJ,56598,52568017,6747712
2001,2,63,RJ,60221,56155716,7638590
2001,6,275,RJ,150439,140134113,20449741
2001,11,715,RJ,150828,140270479,20363436
2001,6,158,RJ,78618,73060331,9377120
2001,12,63,RJ,165011,153945716,17157522
2001,5,715,RJ,248965,231791006,24678668
2001,4,244,RJ,131947,123040814,11001699
2002,10,386,RJ,89399,83587605,12939221
2002,3,249,RJ,97218,90801279,9067835
2002,9,361,RJ,286140,266796719,39702348
2002,4,249,RJ,84094,78342062,9051876
2002,11,77,RJ,157216,146620043,22416480
2002,6,815,RN,78762,68940349,12391921
2002,9,244,RJ,158596,148526050,22536131
2002,10,275,ND,0,11,90
2002,9,249,RJ,144091,134272175,22243394
2002,7,245,RJ,38111,35507953,4611374
2002,1,158,RJ,39085,36310218,2876753
2002,7,607,BA,145039,135088858,17706776
2002,12,361,RJ,608944,566488570,79194437
2002,6,158,RJ,152490,142501443,21703221
2002,8,244,RJ,88128,82029311,11582722
2002,10,573,RJ,152517,141916819,24497346
2002,11,607,RJ,158468,147850838,21351471
2002,5,573,RJ,152256,142039568,19663824
2002,5,244,RJ,153684,143357354,20642950
2002,5,715,RJ,156735,145152673,23179594
2002,4,607,RJ,158559,148125944,20977375
2002,9,607,RJ,164633,152861970,24873409
2002,12,815,RJ,78086,72791327,10475344
2002,11,573,RJ,148783,139796222,23553815
2002,8,249,RJ,151914,141553266,21018496
2002,5,158,RJ,149447,139178134,19996640
2002,8,249,RJ,59476,55681149,8115334
2002,7,573,RJ,150814,140694043,20102271
2002,10,244,RJ,463434,432539708,72517110
2002,1,63,RJ,53159,49512699,4178162
2002,8,249,ND,0,0,100
2002,5,249,RJ,154637,144090479,20521295
2002,8,815,BA,81152,75519866,11550332
2002,7,715,RJ,706192,658220417,96477169
2002,7,361,RJ,585149,545472644,74910730
2002,3,244,RJ,249259,232259884,24719158
2002,6,573,RJ,150657,140382473,19495877
2002,11,77,RJ,166350,154988181,26610514
2002,2,63,RJ,58753,54464180,5042761
2002,2,607,RJ,154003,143500185,14386914
2002,8,573,RJ,148887,138628732,20047004
2002,5,715,RJ,3987,3723360,428866
2002,5,63,RJ,49340,45930548,5990881
2002,12,151,RJ,44190,41207780,5736447
2002,12,244,RJ,303294,282883036,39079809
2002,3,607,RJ,156601,145686179,16023375
2002,1,275,RJ,151879,140989162,12278754
2002,3,715,RJ,332515,309690029,31164463
2002,10,361,RJ,316844,295172149,47435362
2002,2,158,RJ,149949,139767529,11968214
2002,5,815,RJ,79020,73788996,10040910
2002,4,249,RJ,153625,143116902,15505942
2002,1,361,RJ,129011,120212056,10952428
2002,9,715,RJ,283850,263355733,44011672
2002,3,573,RJ,155241,144591300,15482649
2002,5,573,RJ,151143,141184078,20967029
2002,1,244,RJ,155193,144608835,12752227
2002,11,158,RJ,155549,144691727,22626309
2002,9,249,ND,0,0,10
2002,7,249,RJ,162858,152011207,21367179
2002,4,715,RJ,258291,240159260,32966154
2002,12,275,RJ,189446,176418910,23829490
2002,10,249,RJ,156671,147176720,26017958
2002,8,573,RJ,161701,150462975,22386099
2002,8,361,RJ,319850,297972741,42932259
2002,8,193,RJ,49837,46478350,7394112
2002,7,244,RJ,637586,594709322,83282125
2002,4,361,RJ,313149,292325011,38306335
2002,2,715,RJ,161194,149296417,13956257
2002,1,249,ND,11300,11300,1190
2002,10,275,RJ,67166,62800495,10325661
2002,8,249,RJ,156360,145836998,21722776
2002,10,77,RJ,283392,263781113,44727568
2002,3,244,RJ,158561,147667811,14220372
2002,12,628,RJ,136145,126777826,16888391
2002,9,249,RN,73199,64385869,11671575
2003,11,158,RJ,152615,142237436,23301883
2003,12,158,RJ,166315,150529766,27975445
2003,1,249,ND,0,1,10
2003,1,607,RJ,148824,138644418,20194769
2003,3,361,RJ,293713,273241336,49428843
2003,9,249,RN,80638,70405012,12562138
2003,4,573,RJ,97181,90432531,13519793
2003,2,158,RJ,173396,161976003,29129113
2003,2,249,ND,0,21,300
2003,4,628,RJ,48640,45215587,6606042
2003,12,275,RJ,105899,98571041,17060076
2003,11,249,RJ,1,1,2
2003,11,77,RJ,304311,282927608,49156712
2003,8,361,RJ,316325,294307185,44801132
2003,12,249,RJ,152145,141723231,22854638
2003,2,244,RJ,276783,258348847,46156167
2003,7,249,RJ,57620,53246624,8391804
2003,1,151,RJ,49718,46203373,8731956
2003,9,628,RJ,133396,124405309,21764482
2003,3,249,RJ,76188,70900296,14499894
2003,1,815,BA,57699,53815772,9287220
2003,5,275,BA,157231,146947878,19329838
2003,2,815,RJ,89859,83820385,16528433
2003,5,249,ND,0,0,30
2003,2,249,RJ,352758,328061381,52202079
2003,7,815,RJ,33245,30981472,5218148
2003,3,63,SC,1,16,16
2003,3,158,RJ,131341,122165188,25747582
2003,9,607,RJ,157891,147406725,25896196
2003,11,275,RJ,156563,146439814,24875964
2003,8,628,RJ,131268,122329910,21057105
2003,9,863,RN,80391,70510608,14279551
2003,11,628,RJ,131802,122654919,22276185
2003,1,244,RJ,315173,292952793,47852670
2003,12,589,RJ,144310,127344547,22689655
2003,12,65,RJ,156951,146105581,25937411
2003,12,190,RJ,283575,263667649,41141041
2003,5,361,RJ,285429,265306582,33821135
2003,1,573,RJ,97565,90667122,15534816
2003,3,77,RJ,336754,313226796,69589884
2003,5,249,BA,79747,74379561,11550708
2003,6,361,RJ,316218,294019147,39305891
2003,10,647,MG,1,40,21
2003,4,361,RJ,296703,276171433,44265611
2003,7,573,RJ,156126,145244088,22876718
2003,10,158,RJ,99806,87919402,15106837
2003,10,275,RJ,62521,60778152,9212977
2003,11,160,RJ,133172,123996536,22266170
2003,3,249,RJ,309674,288395202,63985867
2003,2,249,RJ,11,11200,5598
2003,6,249,ND,0,383,810
2003,10,77,RJ,294636,274688845,43405357
2003,9,245,RJ,156528,146181125,24165459
2003,10,244,RJ,284124,262729596,41123599
2003,8,158,RJ,13652,12505638,2114398
2003,6,607,RJ,170529,159154552,23878533
2003,2,249,BA,321852,300433523,58722103
2003,7,815,RJ,69764,64950680,10676736
2003,6,249,SP,6,45,195
2003,12,607,RJ,166265,154941973,25970301
2003,9,77,RJ,154221,144058212,24826706
2003,7,628,RJ,131388,122545897,17954325
2003,10,607,RJ,157690,146588444,23012116
2003,3,249,RJ,141444,131924893,29676637
2003,8,77,RJ,98453,91258230,16536873
2003,11,77,RJ,54403,50784813,8590899
2003,6,249,RJ,6,6000,2940
2003,9,275,RJ,155296,144502883,23333708
2003,10,573,RJ,155637,145348801,24995292
2003,4,158,RJ,134611,125322690,19522386
2003,12,815,RN,83029,72616992,14648645
2003,10,245,RJ,93782,85068140,13632798
2003,9,249,ND,6,6360,1120
2003,9,249,RJ,5,8,50
2003,5,77,BA,57679,53796978,6362587
2003,7,158,RJ,38845,36025344,5784213
2003,4,815,BA,112471,105149230,20831230
2003,7,249,RJ,78171,72847089,12878203
2003,6,538,RJ,2,1800,882
2003,10,815,RN,105512,92175209,17468840
2003,12,77,RJ,156643,146257593,25906770
2003,7,190,RJ,300458,278944779,44531834
2003,12,77,RJ,154499,143792657,25462261
2003,8,249,RJ,59275,55834470,9960940
2003,9,249,RJ,156392,145444237,26188176
2003,9,249,CE,1380,1380,521
2003,6,158,RJ,144252,134471741,21807884
2003,9,77,RJ,268351,249941940,43341378
2003,2,361,RJ,305400,284297229,43596833
2003,5,63,RJ,0,10,19
2003,11,573,RJ,154547,144362500,25491535
2003,6,77,RJ,306045,284989221,37829278
2003,7,249,RJ,158144,147581733,24706435
2003,3,249,ND,0,5,70
2003,2,607,BA,158439,147332806,27342481
2003,12,628,RJ,124449,116110864,19286939
2003,8,158,RJ,117793,109630239,18539783
2003,10,628,RJ,119154,111289651,17597573
2003,1,158,RJ,154805,144123418,21066046
2003,5,190,RJ,321210,298307522,41179070
2004,6,77,RJ,69772,65111572,13420512
2004,11,158,RJ,155482,144614036,36043244
2004,1,386,RJ,51821,48737288,9481320
2004,8,249,RJ,100246,93138828,19441108
2004,2,158,RJ,245191,216102250,38434740
2004,3,65,RJ,163961,150368709,28667698
2004,7,815,RJ,96227,84297050,17789069
2004,7,275,RJ,155254,144852117,27488759
2004,3,77,RJ,198305,185216804,32709166
2004,8,815,RJ,99819,87596710,20042980
2004,11,361,ND,0,81,120
2004,1,158,RJ,164266,153375213,26552533
2004,10,77,RJ,300072,278767023,65818503
2004,2,815,RJ,63279,55756460,9919231
2004,2,573,RJ,169793,158247217,27783077
2004,1,275,RJ,156215,145607756,24696725
2004,6,815,RN,198860,173276060,42579077
2004,1,815,RN,81823,71374440,14034795
2004,12,190,RJ,312493,291336978,64408308
2004,12,607,RJ,169366,158120460,44092679
2004,10,607,RJ,149693,141579172,31144991
2004,7,158,RJ,163576,152779563,30506384
2004,3,190,RJ,300162,278730498,49258852
2004,3,863,RN,83266,72350124,15580791
2004,5,573,RJ,153731,143216222,24865462
2004,6,538,ES,30,6000,2878
2004,6,399,ND,0,60,50
2004,12,589,RJ,143693,126178370,30622788
2004,2,249,RJ,147227,129518330,24523286
2004,6,611,RJ,79766,69859490,13904734
2004,1,77,RJ,156951,146105581,26005213
2004,5,160,RJ,310043,289114849,55114215
2004,3,607,RJ,156218,145501362,22293815
2004,8,607,RJ,166279,154838968,30519609
2004,8,815,RN,99157,86712910,22832024
2004,7,249,RJ,445695,407542187,83855179
2004,4,158,RJ,142972,142971803,28126378
2004,12,160,RJ,148959,131003240,31792014
2004,11,65,RJ,150000,139815008,37687459
2004,3,815,RJ,65674,57786315,10858454
2004,8,160,RJ,150013,131667630,30116579
2004,9,160,RJ,143188,126467900,32385802
2004,2,249,RJ,103392,96484981,17617423
2004,5,249,RJ,158904,148098111,27450361
2004,5,249,RJ,5,5000,3430
2004,9,158,RJ,154533,143560956,36952881
2004,4,249,ND,0,4,60
2004,8,77,RJ,304660,283364302,56835279
2004,8,65,RJ,166710,155290507,31062445
2004,6,815,RJ,118860,104172710,23000196
2004,9,249,ND,0,80,12
2004,3,158,RJ,145488,145488252,29147174
2004,1,863,RN,94101,82037419,17544052
2004,11,275,RJ,158614,147733391,38916686
2004,1,244,RJ,164483,153397036,24738816
2004,6,607,RJ,156263,146074653,32207618
2004,1,275,RJ,96238,90512105,14090807
2004,10,611,RJ,64794,56746250,14519778
2004,3,275,RJ,156218,145501362,24502086
2004,3,845,RJ,149969,132302404,24795565
2004,10,249,RJ,12,2153,1170
2004,1,607,RJ,143544,133782703,21446066
2004,6,77,RJ,155119,144725961,30154236
2004,9,77,RJ,7476,6945879,1479463
2004,11,249,RJ,155799,145344761,37363768
2004,7,863,RN,91343,79395668,18807952
2004,6,65,RJ,95696,89322460,19740746
2004,10,160,RJ,144277,126589810,32341773
2004,6,244,RJ,311876,291416437,60266414
2004,7,77,RJ,56367,52613201,10590839
2004,7,249,ND,0,0,30
2004,6,169,RJ,145064,127235940,27046834
2004,1,607,RJ,152448,142035747,24492937
2004,6,815,ND,0,60,50
2004,7,815,RN,202127,176002024,42681604
2004,3,249,RJ,106916,99603194,18857720
2004,4,815,RJ,100338,87936430,17973187
2004,5,77,RJ,42439,39430257,7155623
2004,8,187,RJ,151518,141078726,30868612
2004,5,815,RJ,171558,150367990,29905742
2004,11,158,RJ,161831,150745799,42443754
2004,5,65,RJ,86435,80661456,16972567
2004,1,249,RJ,153324,143097622,26619567
2004,8,245,RJ,154981,144318500,32890956
2004,5,607,RJ,168488,157367520,29436549
2004,3,249,ND,0,6,1500
2004,12,815,RN,182911,158493073,50538495
2004,4,65,RJ,163743,152444424,30074358
2004,5,863,RN,205067,178751514,40699198
2004,8,160,RJ,144754,134780205,28380073
2004,2,158,RJ,164027,153250776,28376438
2004,8,249,RN,90001,77499835,18944339
2004,10,249,RJ,232032,211984984,55304971
2004,6,158,RJ,163607,152432284,32984336
2004,2,77,RJ,318528,296199621,54029188
2005,7,249,SP,153822,143776746,42546975
2005,7,249,RJ,447257,417002656,115501239
2005,10,77,RJ,321307,299457699,106751243
2005,12,249,RJ,157167,147076802,43798779
2005,7,589,RJ,155674,136885807,45669747
2005,11,160,RJ,300112,280244744,90761617
2005,7,65,BA,151866,141235174,37340077
2005,9,158,RJ,161545,150463467,46217120
2005,9,815,RJ,96854,84709710,32171589
2005,8,573,BA,109643,102322065,31661066
2005,2,249,RN,79782,69330754,17000000
2005,8,249,RN,83065,72241724,25408925
2005,11,815,RJ,102253,90197293,38232768
2005,5,573,RJ,167127,155211200,41837801
2005,7,160,RJ,143567,125736460,39511683
2005,12,249,RJ,153890,143271534,41918850
2005,5,538,RJ,9,8100,899
2005,12,77,RJ,311031,289600799,92207516
2005,7,275,BA,158586,143615902,34147965
2005,8,249,RJ,443856,414340150,134057341
2005,8,77,RJ,315729,294543308,91953232
2005,11,65,RJ,152800,141997484,46268274
2005,9,160,RJ,311030,289786395,103965782
2005,11,815,RJ,74292,65094628,22565973
2005,6,23,SP,2,2,177
2005,9,158,SP,164208,152828279,56096699
2005,7,190,RJ,310070,288334457,71350915
2005,9,158,RJ,141877,129353433,49339094
2005,5,158,RJ,151876,141153346,38368647
2005,8,77,BA,144963,135192538,44381147
2005,5,589,RJ,143399,125804720,37052451
2005,1,160,RJ,306033,285436525,55822316
2005,3,589,RJ,143704,126216670,31933395
2005,1,158,RJ,166738,155616636,35642740
2005,9,77,RJ,324664,301939000,109361627
2005,11,158,RJ,265211,241713429,84587385
2005,11,158,RJ,165554,154428682,49979025
2005,8,815,RJ,98039,86450552,35584041
2005,1,573,RJ,152594,147659104,24426580
2005,6,628,SP,0,2,177
2005,10,249,ND,301,1,120
2005,11,607,RJ,156990,145953740,47461499
2005,3,65,RJ,166517,155327332,32001979
2005,12,815,RJ,100206,87730330,29143786
2005,11,249,RJ,156809,145863611,50079974
2005,4,190,RJ,286299,266973855,75353831
2005,4,573,RJ,156329,145589387,39928026
2005,4,611,RJ,92041,80628190,24171993
2005,7,77,RJ,303095,282484232,70048518
2005,3,249,ND,1,1,20
2005,9,607,RJ,165940,154457140,55688601
2005,2,160,RJ,322863,300617476,82109923
2005,2,158,RJ,161893,150900849,29180665
2005,8,65,RJ,310272,289909367,91124055
2005,5,815,RJ,174281,152813135,45562280
2005,8,65,BA,158630,147367015,41428696
2005,5,249,RJ,313434,291509856,74650850
2005,9,249,RJ,151916,141160664,55429417
2005,1,607,RJ,157957,146931672,30957624
2005,3,815,RJ,96240,84499750,22183583
2005,7,158,SP,149182,138855585,42557249
2005,2,249,RJ,154575,144110126,28040449
2005,8,275,BA,213837,194777513,61887801
2005,4,249,RJ,156786,145810858,38859139
2005,8,607,RJ,160187,149085866,47055447
2005,4,815,RJ,100242,87912740,26325937
2005,1,361,RJ,313097,291744087,52102381
2005,7,573,RJ,422988,393157389,92458436
2005,10,607,BA,157341,146421635,51370235
2005,4,158,RJ,164462,152883944,44504669
2005,12,538,ES,20000,19570,2474
2005,12,160,RJ,303445,282477365,92795635
2005,5,77,RJ,305526,283284151,74372984
2005,9,65,RJ,148328,138182816,51790790
2005,7,815,RN,84035,72883290,22796606
2005,10,815,RJ,99710,87195950,31802874
2005,1,741,ND,0,16,20
2005,6,815,RJ,96132,84347280,23921738
2005,8,815,RN,98043,85170216,31665424
2005,11,77,RJ,150117,139849090,46927339
2005,1,628,RJ,105625,98632403,14440339
2005,7,158,RJ,155144,144345731,33531972
2005,2,815,RJ,188171,165263750,37959049
2005,7,607,BA,330318,303686821,82662601
2005,4,607,RJ,164481,153016934,41497808
2005,7,65,RJ,157854,146788670,43293724
2005,3,77,RJ,158436,147282205,31235633
2005,5,573,RJ,10,12,5
2005,7,160,RJ,316688,295121081,76662640
2005,12,249,ND,0,0,20
2006,11,249,RJ,151677,140907355,43794249
2006,10,249,RJ,314442,292793131,99013541
2006,5,249,RJ,61,0,80
2006,2,23,SP,6,6,6
2006,7,538,RJ,7,6300,3150
2006,4,190,RJ,298900,278813865,93472456
2006,10,386,RJ,1,20,20
2006,10,160,RJ,309563,288690601,103752729
2006,9,190,RJ,154232,143698299,60150021
2006,12,158,RJ,238180,214231919,74746003
2006,8,160,RJ,289756,269356864,107398463
2006,8,607,RJ,157086,146875407,62229939
2006,6,361,RJ,1,20,10
2006,7,65,RJ,80505,74934061,28110878
2006,7,628,RJ,3,70,60
2006,10,249,ND,800,780,800
2006,11,573,RJ,163798,152888650,46268789
2006,12,361,RJ,301675,280546056,82096760
2006,12,158,RJ,79379,69576580,25429364
2006,12,815,SP,148019,130776064,48589653
2006,4,249,RJ,158348,147549068,48131675
2006,11,249,ND,0,3,55
2006,9,190,RJ,3,80,80
2006,1,249,RJ,152674,141849187,44411954
2006,5,815,RJ,1,34,20
2006,3,249,ND,42,42,100
2006,12,190,RJ,159493,148966464,44599863
2006,8,628,RJ,96796,90911185,34098013
2006,2,628,SP,10,10,10
2006,4,607,RJ,155863,145279817,44699056
2006,9,249,RJ,780005,727139836,290178945
2006,9,275,RJ,2,2,2
2006,6,249,RJ,153335,143061692,56640174
2006,8,249,RJ,302896,282414633,120746733
2006,2,607,RJ,165614,154633612,52241210
2006,9,607,RJ,156238,145957852,59433382
2006,5,158,RJ,250681,228629111,91776526
2006,6,158,RJ,155838,138197402,62812041
2006,12,249,RJ,2,20,20
2006,1,607,RJ,161839,151060933,42445603
2006,10,589,RJ,138865,122243290,47058466
2006,10,249,RJ,24,22253,11899
2006,7,149,RJ,1,40,20
2006,7,589,RJ,152342,133595850,57566239
2006,4,158,RJ,158052,147573243,47648605
2006,5,77,RJ,153083,142382325,52172309
2006,6,77,RJ,300403,279825588,116053960
2006,1,160,RJ,430853,400292610,121277602
2006,3,607,RJ,165551,154343352,52949948
2006,9,158,RJ,460050,414398399,176025258
2006,8,628,RJ,1,20,10
2006,7,607,RJ,313329,292197685,116529678
2006,9,249,RJ,323713,298321704,117251469
2006,7,249,RJ,391940,365941034,148372118
2006,5,249,RJ,308462,287644010,103504441
2006,5,77,RJ,154309,144108744,48620968
2006,11,815,RJ,197851,179178702,61464335
2006,7,158,RJ,352884,326945642,133539152
2006,7,77,RJ,326271,303965448,118857148
2006,11,249,RJ,22,22000,11000
2006,10,538,ND,440,429,440
2006,1,538,RJ,1,900,500
2006,7,249,RJ,3,80,40
2006,7,65,RJ,152586,141843488,59885068
2006,1,158,RJ,422235,387041969,124182917
2006,11,160,RJ,148836,139027358,45358447
2006,11,158,RJ,79312,73839511,22966693
2006,12,573,RJ,158258,147186829,42676988
2006,8,158,RJ,164701,152859408,66253985
2006,1,361,RJ,312011,290482531,83306940
2006,6,149,RJ,0,1,20
2006,8,249,RJ,2,50,50
2006,11,607,RJ,154799,144690798,45546274
2006,11,249,RJ,477424,445415461,138736058
2006,9,65,RJ,166324,154748253,54086203
2006,9,589,RJ,101644,88948600,40084620
2006,3,815,RJ,188575,165021606,62393343
2006,12,589,RJ,63920,58154305,19364832
2006,10,249,RJ,1,76,26
2006,3,249,BA,156352,145407300,45918659
2006,1,245,RJ,152344,141680008,39979535
2006,1,573,RJ,152635,141721413,40911356
2006,1,361,RJ,1,20,20
2006,12,628,RJ,96940,89708190,24611908
2006,11,361,RJ,152441,142318629,34205450
2006,12,158,SP,48705,45208028,11982274
2006,2,149,ND,0,77,9000
2006,7,77,RJ,303916,283249352,114260049
2006,3,158,RJ,154018,143790838,50663878
2006,1,607,RJ,154179,143155406,43247102
2006,5,607,RJ,157724,146604575,49853413
2006,3,77,RJ,313507,292271304,97775735
2006,7,589,SP,158346,140817113,60989581
2006,12,628,RJ,141072,131309585,38814368
2006,4,249,RJ,157744,147317521,45533479
2006,2,249,RJ,154053,143885735,47763455
2006,8,249,RJ,79747,74132346,31951065
2006,8,158,SP,78895,73727587,28733714
2006,8,77,RJ,239683,223048471,90598419
2006,2,249,SP,8,8,80
2006,4,815,RN,82685,72332872,27933228
2006,6,160,RJ,594386,549927396,212496610
2006,7,158,SP,80114,70292138,31825636
2006,2,77,RJ,156721,146252011,50923320
2006,8,158,RJ,155673,141231177,64642210
2006,8,249,RJ,0,5,70
2006,2,158,RJ,105194,92044770,35672736
2006,7,275,ND,0,5,20
2006,1,249,RJ,466594,435627250,138254264
2006,12,249,RJ,175457,161105805,55587015
2006,8,275,RJ,163246,144586578,66685472
2006,10,158,RJ,291082,261249493,94397870
2006,12,160,RJ,150810,140856596,41260687
2006,10,589,RJ,156343,138504523,48904754
2006,10,249,RJ,313916,283178167,96064719
2006,9,160,RJ,440611,410632246,172887266
2006,12,249,RJ,765412,713523199,235571804
2006,8,589,RJ,130010,114111910,51752217
2006,5,169,RJ,59424,52312760,23008164
2006,1,573,RJ,4,3600,2000
2006,8,23,RJ,1,20,10
2006,1,190,RJ,155493,144452773,43397303
2006,11,275,RJ,157817,143392552,41717521
2006,4,589,RJ,104980,91826410,35709496
2006,3,249,RJ,158732,147684056,50881889
2006,4,607,RJ,163090,151641053,59011083
2006,10,275,RJ,159729,145146051,46975312
2006,11,160,RJ,144199,134624102,31414589
2006,2,65,RJ,153911,143490988,48478385
2006,6,776,RJ,1,16,10
2006,7,361,RJ,1,20,10
2007,11,23,RJ,140872,130626317,66911185
2007,3,160,RJ,144524,130967808,38833632
2007,8,628,SP,15,15,332
2007,8,249,SP,151392,137434579,64530199
2007,5,607,RJ,78664,73440530,28110491
2007,7,589,RJ,64131,58250188,26151431
2007,1,607,RJ,125671,117025253,38558737
2007,12,249,RJ,456475,424152965,230256027
2007,12,628,RJ,1,20,20
2007,6,249,RJ,316097,295159112,109371500
2007,8,607,RJ,77914,72565422,28805571
2007,2,249,RJ,313487,291902581,87689937
2007,3,158,RJ,461822,415059213,147041220
2007,5,249,RJ,474458,442507518,154293097
2007,11,573,RJ,252189,234305545,120252434
2007,7,160,RJ,287649,266420614,88891019
2007,8,607,RJ,164048,153427039,63761815
2007,3,607,RJ,159936,148851988,49546469
2007,10,589,RJ,137907,120682740,58755448
2007,2,573,RJ,228275,212060506,53595904
2007,2,607,RJ,157187,146797186,38819068
2007,1,249,RJ,20,20,8
2007,3,23,RJ,50200,46606061,11542872
2007,11,158,RJ,105197,91941750,48823715
2007,12,715,RJ,615675,572759642,329739610
2007,12,628,RJ,103670,96278747,50896215
2007,5,573,RJ,102211,95086515,32976147
2007,1,160,RJ,147172,133749558,42290135
2007,7,815,RJ,78580,68953768,32544047
2007,9,573,RJ,81341,75631262,28387437
2007,4,249,SP,78553,72928253,23665787
2007,8,158,RJ,135537,118159610,57717588
2007,3,589,RJ,67905,61705092,21645710
2007,9,249,RJ,322333,301369692,129577872
2007,8,190,RJ,87672,81578768,32779132
2007,6,589,RJ,104526,91512590,37907106
2007,3,628,RJ,100401,93212124,23052993
2007,4,249,ND,0,0,5
2007,8,249,RJ,322414,302033286,126693887
2007,1,628,SP,93735,86929877,27680838
2007,10,607,RJ,313231,290777375,127177675
2007,5,63,ND,0,16,5
2007,5,715,RJ,292031,271617905,96808534
2007,1,158,SP,150588,136785137,46873344
2007,8,160,RJ,537829,500304702,200518984
2007,2,249,RJ,463306,433221742,126880266
2007,6,249,RJ,314130,288561835,104319438
2007,9,249,RJ,155042,143925550,60943945
2007,11,249,RJ,302372,282378803,153568259
2007,11,249,ND,6,85,150
2007,4,573,RJ,158374,143788116,49069659
2007,1,249,RJ,319235,298395550,96585279
2007,5,715,RJ,158451,148135213,52716019
2007,4,589,RJ,98613,86534770,33041578
2007,1,249,RJ,156522,145581150,48739616
2007,12,573,RJ,341970,317200462,166014594
2007,7,249,RJ,0,50,50
2007,7,249,RJ,318980,298439217,120838271
2007,3,249,SP,77304,71915633,24290688
2007,5,249,RJ,151164,140598100,48361157
2007,2,158,RJ,104876,92232000,30224229
2007,6,160,RJ,289249,268885987,95816414
2007,2,275,RJ,161076,146224571,46083163
2007,9,63,ND,1,18,5
2007,9,249,ND,4,30,100
2007,4,815,RJ,85188,77427339,29698841
2007,10,63,RJ,2,50,20
2007,4,249,RJ,791645,738181221,246491811
2007,1,607,SP,38956,35897827,11355243
2007,8,245,RJ,102730,95446856,35823040
2007,5,158,RJ,156672,143947736,52292214
2007,10,715,RJ,540279,502872230,234326061
2007,8,158,RJ,155731,141414972,64666895
2007,6,607,RJ,154703,144165372,54939744
2007,2,589,RJ,62217,57488567,14947505
2007,9,23,RJ,73425,68270721,25447272
2007,6,158,RJ,156520,143638570,52926391
2007,9,607,RJ,78961,73339195,28902920
2007,12,249,ND,2,30,50
2007,4,573,RJ,50183,46720017,14196480
2007,10,190,ND,6,85,150
2007,1,190,RJ,155556,144480063,44177673
2007,10,275,RJ,147011,136778607,64861597
2007,7,715,RJ,608732,566384238,216787184
2007,4,158,RJ,301562,271899643,98548514
2007,1,65,RJ,155127,144671829,50863592
2007,12,249,ND,0,0,150
2007,5,815,BA,82712,72555295,29597864
2007,2,628,RJ,77885,72406129,21651766
2007,2,815,RJ,76305,67011442,23346286
2007,10,249,ND,0,2,160
2007,1,158,RJ,299096,269707061,89334161
2007,12,249,RJ,0,15,3
